,GRU-F2-D-M3.f,TCN-F2-D-M3.f,CNN-F2-D-M6.f,LSTM-F2-D-M6.f,TRANS-F2-D-M6.f,HAN-F2-D-M6.f
GRU-F2-D-M3.f,1.0,0.2383938491061232,0.006176720753586384,0.016133564667097266,0.20233427825684305,0.0213389109838451
TCN-F2-D-M3.f,0.2383938491061232,1.0,0.0003882186001710882,0.2369398538726021,0.29136994657211873,-0.00904630923435895
CNN-F2-D-M6.f,0.006176720753586384,0.0003882186001710882,1.0,0.031458810242945535,-0.0033471200171761037,0.0001567429315926888
LSTM-F2-D-M6.f,0.016133564667097266,0.2369398538726021,0.031458810242945535,1.0,0.018501904624965863,0.007200681484804148
TRANS-F2-D-M6.f,0.20233427825684305,0.29136994657211873,-0.0033471200171761037,0.018501904624965863,1.0,-0.005645568817205853
HAN-F2-D-M6.f,0.0213389109838451,-0.00904630923435895,0.0001567429315926888,0.007200681484804148,-0.005645568817205853,1.0
